2026-09-24 08:59:11 - INFO - 当前服务器配置为：交易时间段服务器重启后，执行拉起本交易操作
2026-09-24 08:59:16 - INFO - 竞价候选池 连板20只+高位44只=去重59只: ['金健米业', '华纺股份', '华丽家族', '龙头股份', '华远控股', '新华传媒', '新华文轩', '博通集成', '内蒙新华', '锡华科技', '南威软件', '南华生物', '我爱我家', '大亚圣象', '华瓷股份', '泰慕士', '三羊马', '世联行', '华软科技', '奥佳华', '香江控股', '开开实业', '天通股份', '敦煌种业', '万向德农', '新赛股份', '神奇制药', '先导基电', '哈药股份', '百花医药', '金牛化工', '云煤能源', '国芳集团', '会稽山  ', '华脉科技', '华正新材', '爱丽家居', '海鸥股份', '天洋新材', '科森科技', '哈森股份', '澳弘电子', '新中港  ', '一鸣食品', '龙版传媒', '德龙汇能', '桂林旅游', '闽东电力', '金 螳 螂', '海鸥住工', '澳洋健康', '美盈森', '星网锐捷', '德尔未来', '高争民爆', '集泰股份', '豪尔赛', '华盛昌', '楚天龙']
2026-09-24 09:15:00 - INFO - 竞价轮询: 暂无卖一挂跌停价命中
2026-09-24 09:15:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:15:30 600630.SS 龙头股份      7.68    -9.96        8453       33673        8453       33673      649.19     1936.90      649.19        0.00     1936.90        0.00
09:15:30 603230.SS 内蒙新华     15.11   -10.01        3662        5076        3662        5076      553.33      213.66      553.33        0.00      213.66        0.00
09:15:30 000504.SZ 南华生物     11.48   -10.03        6505       54643        6505       54643      746.77     5526.24      746.77        0.00     5526.24        0.00
09:15:30 001216.SZ 华瓷股份     25.48   -10.00        6229       23407        6229       23407     1587.15     4376.95     1587.15        0.00     4376.95        0.00
09:15:30 001317.SZ 三羊马     53.42   -10.01         798        2112         798        2112      426.29      701.94      426.29        0.00      701.94        0.00
09:15:30 002285.SZ 世联行      2.85   -10.09       26027      129119       26027      129119      741.77     2938.14      741.77        0.00     2938.14        0.00
09:15:30 600664.SS 哈药股份      8.14    -9.96       25746       40433       25746       40433     2095.72     1195.52     2095.72        0.00     1195.52        0.00
09:15:30 601579.SS 会稽山       33.08    -9.99        4371        6550        4371        6550     1445.93      720.81     1445.93        0.00      720.81        0.00
09:15:30 605179.SS 一鸣食品     24.38   -10.00        1013        1697        1013        1697      246.97      166.76      246.97        0.00      166.76        0.00
09:15:30 605577.SS 龙版传媒     14.33    -9.99        5931        8437        5931        8437      849.91      359.11      849.91        0.00      359.11        0.00
09:15:30 000993.SZ 闽东电力     16.94    -9.99       14687       67585       14687       67585     2487.98     8960.92     2487.98        0.00     8960.92        0.00
09:15:30 002303.SZ 美盈森      6.03   -10.00        1956        1825        1956        1825      110.05        0.00      110.05        7.90        0.00        7.90
09:15:30 003040.SZ 楚天龙     14.32    -9.99        2541        6669        2541        6669      363.87      591.13      363.87        0.00      591.13        0.00
2026-09-24 09:16:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:16:00 600630.SS 龙头股份      7.68    -9.96        8502       34655        8502       34655      652.95     2008.55      652.95        0.00     2008.55        0.00
09:16:00 603230.SS 内蒙新华     15.11   -10.01        3896        5515        3896        5515      588.69      244.63      588.69        0.00      244.63        0.00
09:16:00 000504.SZ 南华生物     11.48   -10.03        6674       72854        6674       72854      766.18     7597.46      766.18        0.00     7597.46        0.00
09:16:00 001216.SZ 华瓷股份     25.48   -10.00        5991       24068        6229       24068     1526.51     4606.02     1526.51        0.00     4606.02        0.00
09:16:00 001317.SZ 三羊马     53.42   -10.01         863        2175         863        2175      461.01      700.87      461.01        0.00      701.94        0.00
09:16:00 002285.SZ 世联行      2.85   -10.09       28828      145927       28828      145927      821.60     3337.34      821.60        0.00     3337.34        0.00
09:16:00 600664.SS 哈药股份      8.14    -9.96       33562       51091       33562       51091     2731.95     1426.86     2731.95        0.00     1426.86        0.00
09:16:00 601579.SS 会稽山       33.08    -9.99        5480        8965        5480        8965     1812.78     1152.84     1812.78        0.00     1152.84        0.00
09:16:00 605179.SS 一鸣食品     24.38   -10.00        1228        1735        1228        1735      299.39      123.61      299.39        0.00      166.76        0.00
09:16:00 605577.SS 龙版传媒     14.33    -9.99        6145        8199        6145        8437      880.58      294.34      880.58        0.00      359.11        0.00
09:16:00 000993.SZ 闽东电力     16.94    -9.99       15752       63134       15752       67585     2668.39     8026.51     2668.39        0.00     8960.92        0.00
09:16:00 002303.SZ 美盈森      6.03   -10.00        2111        1918        2111        1918      115.66        0.00      115.66       11.64        0.00       11.64
09:16:00 003040.SZ 楚天龙     14.32    -9.99        3146        6678        3146        6678      450.51      505.78      450.51        0.00      591.13        0.00
2026-09-24 09:16:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:16:30 600630.SS 龙头股份      7.68    -9.96        9140       36614        9140       36614      701.95     2110.00      701.95        0.00     2110.00        0.00
09:16:30 603230.SS 内蒙新华     15.25    -9.17        5366        5296        5366        5515      807.64        0.00      807.64       10.68      244.63       10.68
09:16:30 000504.SZ 南华生物     11.48   -10.03        5310       79443        6674       79443      609.59     8510.47      609.59        0.00     8510.47        0.00
09:16:30 001216.SZ 华瓷股份     25.48   -10.00        5791       27741        6229       27741     1475.55     5592.86     1475.55        0.00     5592.86        0.00
09:16:30 001317.SZ 三羊马     53.42   -10.01         965        2199         965        2199      515.50      659.20      515.50        0.00      701.94        0.00
09:16:30 002285.SZ 世联行      2.85   -10.09       31765      166062       31765      166062      905.30     3827.48      905.30        0.00     3827.48        0.00
09:16:30 600664.SS 哈药股份      8.14    -9.96       36953       50404       36953       51091     3007.97     1094.91     3007.97        0.00     1426.86        0.00
09:16:30 601579.SS 会稽山       33.08    -9.99        5574        9354        5574        9354     1843.88     1250.42     1843.88        0.00     1250.42        0.00
09:16:30 605179.SS 一鸣食品     24.38   -10.00        1388        1673        1388        1735      338.39       69.48      338.39        0.00      166.76        0.00
09:16:30 605577.SS 龙版传媒     14.33    -9.99        7185        7487        7185        8437     1029.61       43.28     1029.61        0.00      359.11        0.00
09:16:30 000993.SZ 闽东电力     16.94    -9.99       16747       62234       16747       67585     2836.94     7705.50     2836.94        0.00     8960.92        0.00
09:16:30 002303.SZ 美盈森      6.03   -10.00        2500        2187        2500        2187      131.88        0.00      131.88       18.87        0.00       18.87
09:16:30 003040.SZ 楚天龙     14.32    -9.99        4138        5614        4138        6678      592.56      211.36      592.56        0.00      591.13        0.00
2026-09-24 09:17:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:17:00 600630.SS 龙头股份      7.68    -9.96       10078       36906       10078       36906      773.99     2060.39      773.99        0.00     2110.00        0.00
09:17:00 603230.SS 内蒙新华     16.78    -0.06        4747        5043        5366        5515      796.55       49.67      796.55        0.00      244.63       10.68
09:17:00 000504.SZ 南华生物     11.48   -10.03        5030       82690        6674       82690      577.44     8915.37      577.44        0.00     8915.37        0.00
09:17:00 001216.SZ 华瓷股份     25.48   -10.00        5751       28830        6229       28830     1465.35     5880.53     1465.35        0.00     5880.53        0.00
09:17:00 001317.SZ 三羊马     53.42   -10.01        2660        2198        2660        2199     1174.17        0.00     1174.17      246.80      701.94      246.80
09:17:00 002285.SZ 世联行      2.85   -10.09       32224      178432       32224      178432      918.38     4166.94      918.38        0.00     4166.94        0.00
09:17:00 600664.SS 哈药股份      8.14    -9.96       39353       50030       39353       51091     3203.33      869.11     3203.33        0.00     1426.86        0.00
09:17:00 601579.SS 会稽山       33.08    -9.99        7732        6367        7732        9354     2106.20        0.00     2106.20      451.54     1250.42      451.54
09:17:00 605179.SS 一鸣食品     24.38   -10.00        1760        1844        1760        1844      429.09       20.48      429.09        0.00      166.76        0.00
09:17:00 605577.SS 龙版传媒     14.33    -9.99        7334        7277        7334        8437     1042.79        0.00     1042.79        8.17      359.11        8.17
09:17:00 000993.SZ 闽东电力     16.94    -9.99       17743       43221       17743       67585     3005.66     4315.97     3005.66        0.00     8960.92        0.00
09:17:00 002303.SZ 美盈森      6.03   -10.00        2991        2947        2991        2947      177.70        0.00      177.70        2.65        0.00       18.87
09:17:00 003040.SZ 楚天龙     14.32    -9.99        4878        6394        4878        6678      698.53      217.09      698.53        0.00      591.13        0.00
2026-09-24 09:17:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:17:30 600630.SS 龙头股份      7.68    -9.96       11290       37233       11290       37233      867.07     1992.42      867.07        0.00     2110.00        0.00
09:17:30 603230.SS 内蒙新华     16.78    -0.06        4882        4981        5366        5515      819.20       16.61      819.20        0.00      244.63       10.68
09:17:30 000504.SZ 南华生物     11.48   -10.03        4653       88566        6674       88566      534.16     9633.23      534.16        0.00     9633.23        0.00
09:17:30 001216.SZ 华瓷股份     25.48   -10.00        5283       29216        6229       29216     1346.11     6098.13     1346.11        0.00     6098.13        0.00
09:17:30 001317.SZ 三羊马     53.56    -9.77        1953        1951        2660        2199     1044.96        0.00     1044.96        1.07      701.94      246.80
09:17:30 002285.SZ 世联行      2.85   -10.09       33040      187305       33040      187305      941.64     4396.57      941.64        0.00     4396.57        0.00
09:17:30 600664.SS 哈药股份      8.14    -9.96       49061       46034       49061       51091     3747.24        0.00     3747.24      246.33     1426.86      246.33
09:17:30 601579.SS 会稽山       33.08    -9.99        8028        6129        8028        9354     2027.47        0.00     2027.47      628.19     1250.42      628.19
09:17:30 605179.SS 一鸣食品     24.38   -10.00        2182        1780        2182        1844      433.96        0.00      433.96       98.01      166.76       98.01
09:17:30 605577.SS 龙版传媒     14.33    -9.99        7502        7078        7502        8437     1014.28        0.00     1014.28       60.76      359.11       60.76
09:17:30 000993.SZ 闽东电力     16.94    -9.99       17883       32307       17883       67585     3029.38     2443.43     3029.38        0.00     8960.92        0.00
09:17:30 002303.SZ 美盈森      6.70     0.00       10564        4605       10564        4605      308.54        0.00      308.54      399.25        0.00      399.25
09:17:30 003040.SZ 楚天龙     14.32    -9.99        6073        6738        6073        6738      869.65       95.23      869.65        0.00      591.13        0.00
2026-09-24 09:18:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:18:00 600630.SS 龙头股份      7.68    -9.96       11808       39431       11808       39431      906.85     2121.52      906.85        0.00     2121.52        0.00
09:18:00 603230.SS 内蒙新华     16.78    -0.06        4970        5053        5366        5515      833.97       13.93      833.97        0.00      244.63       10.68
09:18:00 000504.SZ 南华生物     11.48   -10.03        4809       91792        6674       91792      552.07     9985.66      552.07        0.00     9985.66        0.00
09:18:00 001216.SZ 华瓷股份     25.48   -10.00        5711       28738        6229       29216     1455.16     5867.28     1455.16        0.00     6098.13        0.00
09:18:00 001317.SZ 三羊马     56.00    -5.66        2218        1867        2660        2199     1045.52        0.00     1045.52      196.56      701.94      246.80
09:18:00 002285.SZ 世联行      2.85   -10.09       36063      199262       36063      199262     1027.80     4651.19     1027.80        0.00     4651.19        0.00
09:18:00 600664.SS 哈药股份      8.14    -9.96       54535       43463       54535       51091     3537.96        0.00     3537.96      901.19     1426.86      901.19
09:18:00 601579.SS 会稽山       33.08    -9.99        8337        5989        8337        9354     1981.16        0.00     1981.16      776.72     1250.42      776.72
09:18:00 605179.SS 一鸣食品     24.38   -10.00        2460        2049        2460        2049      499.55        0.00      499.55      100.20      166.76      100.20
09:18:00 605577.SS 龙版传媒     14.33    -9.99        8513        6214        8513        8437      890.47        0.00      890.47      329.45      359.11      329.45
09:18:00 000993.SZ 闽东电力     16.94    -9.99       20126       28026       20126       67585     3409.34     1338.26     3409.34        0.00     8960.92        0.00
09:18:00 002303.SZ 美盈森      6.70     0.00       10573        3428       10573        4605      229.68        0.00      229.68      478.71        0.00      478.71
09:18:00 003040.SZ 楚天龙     14.32    -9.99        6548        6532        6548        6738      935.38        0.00      935.38        2.29      591.13        2.29
2026-09-24 09:18:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:18:30 600630.SS 龙头股份      7.68    -9.96       14046       39386       14046       39431     1078.73     1946.18     1078.73        0.00     2121.52        0.00
09:18:30 603230.SS 内蒙新华     16.78    -0.06        5135        5063        5366        5515      849.57        0.00      849.57       12.08      244.63       12.08
09:18:30 000504.SZ 南华生物     11.48   -10.03        4942       94841        6674       94841      567.34    10320.42      567.34        0.00    10320.42        0.00
09:18:30 001216.SZ 华瓷股份     25.48   -10.00        5888       27854        6229       29216     1500.26     5596.94     1500.26        0.00     6098.13        0.00
09:18:30 001317.SZ 三羊马     56.39    -5.00        1686        1684        2660        2199      949.61        0.00      949.61        1.13      701.94      246.80
09:18:30 002285.SZ 世联行      2.85   -10.09       90338      187750       90338      199262     2574.63     2776.26     2574.63        0.00     4651.19        0.00
09:18:30 600664.SS 哈药股份      8.14    -9.96       57344       40959       57344       51091     3334.13        0.00     3334.13     1333.67     1426.86     1333.67
09:18:30 601579.SS 会稽山       33.08    -9.99        9136        5893        9136        9354     1949.40        0.00     1949.40     1072.78     1250.42     1072.78
09:18:30 605179.SS 一鸣食品     24.38   -10.00        2762        2040        2762        2049      497.35        0.00      497.35      176.02      166.76      176.02
09:18:30 605577.SS 龙版传媒     14.34    -9.92        5665        5386        8513        8437      772.35        0.00      772.35       40.01      359.11      329.45
09:18:30 000993.SZ 闽东电力     16.94    -9.99       21542       24146       21542       67585     3649.21      441.12     3649.21        0.00     8960.92        0.00
09:18:30 002303.SZ 美盈森      6.70     0.00       10571        3270       10573        4605      219.09        0.00      219.09      489.17        0.00      489.17
09:18:30 003040.SZ 楚天龙     14.32    -9.99        7748        5984        7748        6738      856.91        0.00      856.91      252.60      591.13      252.60
2026-09-24 09:19:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:19:00 600630.SS 龙头股份      7.68    -9.96       15761       39614       15761       39614     1210.44     1831.98     1210.44        0.00     2121.52        0.00
09:19:00 603230.SS 内蒙新华     16.79     0.00        5181        5142        5366        5515      863.34        0.00      863.34        6.55      244.63       12.08
09:19:00 000504.SZ 南华生物     11.48   -10.03        4782       97506        6674       97506      548.97    10644.73      548.97        0.00    10644.73        0.00
09:19:00 001216.SZ 华瓷股份     25.48   -10.00        6520       26878        6520       29216     1661.30     5187.22     1661.30        0.00     6098.13        0.00
09:19:00 001317.SZ 三羊马     57.00    -3.98        1636        1634        2660        2199      931.38        0.00      931.38        1.14      701.94      246.80
09:19:00 002285.SZ 世联行      2.85   -10.09      132810      111662      132810      199262     3182.37        0.00     3182.37      602.72     4651.19      602.72
09:19:00 600664.SS 哈药股份      8.14    -9.96       54524       40073       57344       51091     3262.01        0.00     3262.01     1176.24     1426.86     1333.67
09:19:00 601579.SS 会稽山       33.11    -9.90        6021        5912        9136        9354     1957.46        0.00     1957.46       36.09     1250.42     1072.78
09:19:00 605179.SS 一鸣食品     24.38   -10.00        3319        2084        3319        2084      508.08        0.00      508.08      301.09      166.76      301.09
09:19:00 605577.SS 龙版传媒     14.42    -9.42        5467        4983        8513        8437      718.55        0.00      718.55       69.79      359.11      329.45
09:19:00 000993.SZ 闽东电力     16.94    -9.99       21997       20702       21997       67585     3506.92        0.00     3506.92      219.37     8960.92      219.37
